match_number,date,stage,group,home_team,away_team,score,home_score,away_score,predicted_winner,confidence,safe_score,upside_score,recommended_rule,model_score,model_predicted_winner,filled_score,filled_predicted_winner,new_model_score,new_model_predicted_winner,round_locked,round_status,score_source,model_favourite_prob,prob_home_win,prob_draw,prob_away_win,actual_available,actual_home_score,actual_away_score,actual_score,actual_outcome,actual_winner,actual_source,pre_match_score,pre_match_predicted_winner,pre_match_confidence,pre_match_model_favourite_prob,pre_match_source,prediction_exact,prediction_outcome_correct,actual_online_verified
72,2026-06-27,Group Stage,J,Jordan,Argentina,0-2,0,3,Argentina,high,0-2,0-3,wk2022_tuned_strong_3_0,0-3,Argentina,0-2,Argentina,0-3,,True,locked,previous_dashboard,0.8232376204162762,0.069491759035712,0.1072706205480117,0.8232376204162762,False,,,,,,,0-2,Argentina,high,0.8232376204162762,previous_dashboard,,,False
73,2026-06-28,Round of 32,,South Africa,Canada,0-2,0,2,Canada,high,0-1,0-2,wk2022_tuned_strong_2_0,0-2,Canada,0-2,Canada,,,False,open,current_run,0.808,0.19199999999999995,0.0,0.808,False,,,,,,,0-2,Canada,high,0.808,current_run,,,False
74,2026-06-29,Round of 32,,Brazil,Japan,2-1,2,1,Brazil,medium,1-0,2-1,wk2022_tuned_medium_2_1,2-1,Brazil,2-1,Brazil,,,False,open,current_run,0.648,0.648,0.0,0.352,False,,,,,,,2-1,Brazil,medium,0.648,current_run,,,False
75,2026-06-29,Round of 32,,Germany,Sweden,2-0,2,0,Germany,high,1-0,2-0,wk2022_tuned_strong_2_0,2-0,Germany,2-0,Germany,,,False,open,current_run,0.794,0.794,0.0,0.20599999999999996,False,,,,,,,2-0,Germany,high,0.794,current_run,,,False
76,2026-06-29,Round of 32,,Netherlands,Morocco,1-0,1,0,Netherlands,medium,1-0,1-0,safe_expected_points,1-0,Netherlands,1-0,Netherlands,,,False,open,current_run,0.682,0.682,0.0,0.31799999999999995,False,,,,,,,1-0,Netherlands,medium,0.682,current_run,,,False
77,2026-06-30,Round of 32,,Ivory Coast,Norway,0-2,0,2,Norway,high,0-1,0-2,wk2022_tuned_strong_2_0,0-2,Norway,0-2,Norway,,,False,open,current_run,0.761,0.239,0.0,0.761,False,,,,,,,0-2,Norway,high,0.761,current_run,,,False
78,2026-06-30,Round of 32,,France,Paraguay,2-0,2,0,France,high,2-0,2-0,safe_expected_points,2-0,France,2-0,France,,,False,open,current_run,0.857,0.857,0.0,0.14300000000000002,False,,,,,,,2-0,France,high,0.857,current_run,,,False
79,2026-06-30,Round of 32,,Mexico,Ecuador,2-1,2,1,Mexico,medium,1-0,2-1,wk2022_tuned_medium_2_1,2-1,Mexico,2-1,Mexico,,,False,open,current_run,0.649,0.649,0.0,0.351,False,,,,,,,2-1,Mexico,medium,0.649,current_run,,,False
80,2026-07-01,Round of 32,,England,Algeria,2-0,2,0,England,high,1-0,2-0,wk2022_tuned_strong_2_0,2-0,England,2-0,England,,,False,open,current_run,0.841,0.841,0.0,0.15900000000000003,False,,,,,,,2-0,England,high,0.841,current_run,,,False
81,2026-07-01,Round of 32,,Egypt,Cape Verde,1-0,1,0,Egypt,high,1-0,1-0,safe_expected_points,1-0,Egypt,1-0,Egypt,,,False,open,current_run,0.708,0.708,0.0,0.29200000000000004,False,,,,,,,1-0,Egypt,high,0.708,current_run,,,False
