source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,card_type,minute,event_source,source_url
soccerbase,878868,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Martinique,Martinique,Costa Rica,0,178773,A Marny,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878868,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Martinique,Martinique,Costa Rica,0,70519,D Herelle,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878869,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Panama,El Salvador,Panama,El Salvador,1,160447,A Londono,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878869,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Panama,El Salvador,Panama,El Salvador,1,110553,A Carrasquilla,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878869,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Panama,El Salvador,Panama,El Salvador,1,56477,C Martinez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878869,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Panama,El Salvador,Panama,El Salvador,1,119329,C Blackman,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878869,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Panama,El Salvador,El Salvador,Panama,0,95843,B Tamacas,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878869,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Panama,El Salvador,El Salvador,Panama,0,82547,N Orellana,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878867,2023-07-01,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,El Salvador,Costa Rica,El Salvador,Costa Rica,1,82547,N Orellana,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878867,2023-07-01,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,El Salvador,Costa Rica,Costa Rica,El Salvador,0,103345,J Vargas,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878867,2023-07-01,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,El Salvador,Costa Rica,Costa Rica,El Salvador,0,126425,C Nunez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878866,2023-06-30,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Martinique,Panama,Martinique,Panama,1,140008,E Reuperne,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878866,2023-06-30,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Martinique,Panama,Panama,Martinique,0,59754,A Godoy,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878865,2023-06-27,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Panama,Costa Rica,Panama,1,111333,W Azofeifa,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878865,2023-06-27,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Panama,Costa Rica,Panama,1,164713,J Alcocer,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878865,2023-06-27,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Panama,Panama,Costa Rica,0,59754,A Godoy,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878864,2023-06-26,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,El Salvador,Martinique,Martinique,El Salvador,0,146884,R Labonne,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878864,2023-06-26,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,El Salvador,Martinique,Martinique,El Salvador,0,172134,K Fabien,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878864,2023-06-26,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,El Salvador,Martinique,Martinique,El Salvador,0,76948,J Rivierez,red,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Mexico,Panama,1,97325,J Gallardo,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Mexico,Panama,1,103539,C Montes,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Mexico,Panama,1,96890,E Alvarez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Mexico,Panama,1,117614,J Vasquez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Panama,Mexico,0,103541,O Mosquera,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Panama,Mexico,0,59760,H Cummings,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Panama,Mexico,0,59754,A Godoy,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878882,2023-07-17,CONCACAF Gold Cup,2023,Knockout Stages,Final,Mexico,Panama,Panama,Mexico,0,110553,A Carrasquilla,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878880,2023-07-13,CONCACAF Gold Cup,2023,Knockout Stages,Semi-finals,Jamaica,Mexico,Jamaica,Mexico,1,100455,D Lowe,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878880,2023-07-13,CONCACAF Gold Cup,2023,Knockout Stages,Semi-finals,Jamaica,Mexico,Jamaica,Mexico,1,123374,D Bernard,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878880,2023-07-13,CONCACAF Gold Cup,2023,Knockout Stages,Semi-finals,Jamaica,Mexico,Jamaica,Mexico,1,101080,K Lambert,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878880,2023-07-13,CONCACAF Gold Cup,2023,Knockout Stages,Semi-finals,Jamaica,Mexico,Mexico,Jamaica,0,96890,E Alvarez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878880,2023-07-13,CONCACAF Gold Cup,2023,Knockout Stages,Semi-finals,Jamaica,Mexico,Mexico,Jamaica,0,106799,U Antuna,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878881,2023-07-13,CONCACAF Gold Cup,2023,Knockout Stages,Semi-finals,USA,Panama,USA,Panama,1,100772,M Miles Robinson,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878881,2023-07-13,CONCACAF Gold Cup,2023,Knockout Stages,Semi-finals,USA,Panama,Panama,USA,0,59754,A Godoy,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878879,2023-07-10,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,USA,Canada,USA,Canada,1,89077,M Miazga,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878879,2023-07-10,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,USA,Canada,USA,Canada,1,118495,C Cowell,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878879,2023-07-10,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,USA,Canada,Canada,USA,0,129264,Z McGraw,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878879,2023-07-10,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,USA,Canada,Canada,USA,0,88388,L Cavallini,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878879,2023-07-10,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,USA,Canada,Canada,USA,0,70508,J Osorio,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878879,2023-07-10,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,USA,Canada,Canada,USA,0,119010,K Miller,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878878,2023-07-09,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,Guatemala,Jamaica,Guatemala,Jamaica,1,167078,J Ardon,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878878,2023-07-09,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,Guatemala,Jamaica,Jamaica,Guatemala,0,123374,D Bernard,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,878878,2023-07-09,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,Guatemala,Jamaica,Jamaica,Guatemala,0,101080,K Lambert,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
